Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CD,Geo_CSA,Geo_MSAMSA,SE_T001_001,SE_T001_005,SE_T001_010,SE_T001_004,SE_T001_006,SE_T001_009,SE_T001_003,SE_T001_007,SE_T001_008,SE_T001_002,SE_T002_001,SE_T002_005,SE_T002_010,SE_T002_004,SE_T002_006,SE_T002_009,SE_T002_003,SE_T002_007,SE_T002_008,SE_T002_002,SE_T600_001,SE_T600_002,SE_T600_003,SE_T600_004,SE_T600_005,SE_T600_006,SE_T600_007,SE_T600_008,SE_T600_009,SE_T600_010,SE_T003_001,SE_T003_005,SE_T003_010,SE_T003_004,SE_T003_006,SE_T003_009,SE_T003_003,SE_T003_007,SE_T003_008,SE_T003_002,SE_T800_001,SE_T800_002,SE_T800_003,SE_T800_004,SE_T800_005,SE_T800_006,SE_T800_007,SE_T800_008,SE_T800_009,SE_T800_010,SE_T1200_001,SE_T1200_002,SE_T1200_003,SE_T1200_004,SE_T1200_005,SE_T1200_006,SE_T1200_007,SE_T1200_008,SE_T1200_009,SE_T1200_010,SE_T004_001,SE_T004_005,SE_T004_010,SE_T004_004,SE_T004_006,SE_T004_009,SE_T004_003,SE_T004_007,SE_T004_008,SE_T004_002,SE_T1000_001,SE_T1000_002,SE_T1000_003,SE_T1000_004,SE_T1000_005,SE_T1000_006,SE_T1000_007,SE_T1000_008,SE_T1000_009,SE_T1000_010
"01","Alabama","Alabama","00","01",,,,,1730817,91215,137778,190441,310967,220904,262185,179310,132377,205640,100267,49328,20745,14118,10285,3210,1753,530,194,104,,,,,,,,,,,76223039,3927421,5034945,7160459,11738566,9161087,11583376,9374502,6608357,11634326,,,,,,,,,,,44038.7626190406,43056.745052897,36543.8967033924,37599.3562310637,37748.5906864716,41470.8968601746,44180.1628621012,52280.9770788021,49920.7339643594,56576.1816767166,18914735,852795,1208587,1732463,2829250,2259281,2938778,2428415,1701347,2963819,,,,,,,,,,
"02","Alaska","Alaska","00","02",,,,,261053,18876,26845,35596,45757,30691,36767,31244,15088,20189,21293,12190,4082,2667,1535,448,245,91,23,12,,,,,,,,,,,15732010,1219085,1331899,1834001,2511820,1807137,2058547,2235761,1136277,1597483,,,,,,,,,,,60263.6629343467,64583.8631065904,49614.4160923822,51522.6710866389,54894.7701990952,58881.6591183083,55988.9846873555,71558.0911535015,75309.9814422057,79126.4054683243,3817383,205490,290999,411938,566159,433149,531238,612988,342891,422531,,,,,,,,,,
"04","Arizona","Arizona","00","04",,,,,2549128,123299,166970,255590,430147,324945,396701,252909,200192,398375,144867,78203,24948,18854,14236,4740,2662,756,294,174,,,,,,,,,,,123144606,6758873,6759512,10150629,16907128,13690173,18596876,13328132,11268406,25684877,,,,,,,,,,,48308.5219730041,54816.9328218396,40483.3922261484,39714.4997848116,39305.4653409183,42130.7390481466,46878.8230934633,52699.3187272893,56287.9935262148,64474.1186068403,31501921,1352438,1640665,2506897,4151066,3448316,4711019,3487366,3176020,7028134,,,,,,,,,,
"05","Arkansas","Arkansas","00","05",,,,,1043210,60370,91077,119760,185731,139833,149799,103989,68508,124143,66975,34582,13796,8858,6210,2042,1002,309,102,74,,,,,,,,,,,44439456,2800968,3381116,4729894,7197827,5595359,6594941,4664053,3506339,5968959,,,,,,,,,,,42598.763432099,46396.6870962399,37123.7085103813,39494.7728790915,38754.0421362077,40014.5816795749,44025.2671913698,44851.4073603939,51181.453260933,48081.3175128682,11606374,655228,900334,1277086,1925368,1515684,1724336,1236453,914105,1457780,,,,,,,,,,
"06","California","California","00","06",,,,,15223664,856845,1089100,1583414,2537156,1950550,2310152,1348262,1002285,2545900,954632,538992,164167,116670,84565,28403,15441,3980,1452,962,,,,,,,,,,,1020958926,56458501,50678283,73779758,124877002,107652267,146902664,111957507,92395548,256257396,,,,,,,,,,,67063.942425424,65891.1483407151,46532.2587457534,46595.3679833575,49219.2841118165,55190.7241547256,63590.0425599701,83038.3909062185,92184.9054909532,100654.933815154,255991839,10291408,12144701,18064239,31277474,27368515,38189716,29324683,24493598,64837505,,,,,,,,,,
"08","Colorado","Colorado","00","08",,,,,2423817,153424,187284,270935,423872,303898,378421,214923,157770,333290,172548,102419,28081,20020,14059,4440,2518,641,230,140,,,,,,,,,,,133693599,8718308,8423824,12024235,19270360,15728608,21700934,15319834,10994518,21512978,,,,,,,,,,,55158.2891777721,56824.9296068412,44978.8769996369,44380.5156218281,45462.68684886,51756.2076749436,57346.0088102933,71280.570250741,69687.0000633834,64547.3251522698,33825521,1714498,2033439,2938267,4737972,4001710,5641188,4255425,3140766,5362256,,,,,,,,,,
"09","Connecticut","Connecticut","00","09",,,,,1528867,80088,113231,163284,261876,188142,268111,131914,81807,240414,89054,46157,16987,12074,8721,2749,1763,387,125,91,,,,,,,,,,,97728524,4620283,5476969,8144214,13661775,11334837,16059757,8590782,7535708,22304199,,,,,,,,,,,63922.1881301644,57690.0784137449,48369.8722081409,49877.5997648269,52168.8699995418,60246.1810759958,59899.6572315198,65124.1111633337,92115.6869216571,92774.1271306995,26311251,961304,1343935,2043270,3508208,3034199,4366225,2307224,2247069,6499817,,,,,,,,,,
"10","Delaware","Delaware","00","10",,,,,405809,23236,29549,44737,70965,54065,65922,35184,28821,53330,25771,14220,4483,3297,2382,788,428,103,43,27,,,,,,,,,,,23045652,1357951,1339058,2003394,3139191,2508594,3505364,2366285,2575980,4249835,,,,,,,,,,,56789.4058534927,58441.6853158891,45316.5250939118,44781.5901826229,44235.7641090679,46399.5930824008,53174.4182518734,67254.5759436107,89378.5781201207,79689.3868366773,6156711,266886,334992,489109,761136,646293,949810,686336,793576,1228573,,,,,,,,,,
"11","District of Columbia","District of Columbia","00","11",,,,,539557,20956,28651,41670,83472,69864,95750,65263,40899,93032,23751,11750,4276,3056,2738,1017,632,190,60,32,,,,,,,,,,,43490513,1893906,2187787,3130186,5967338,5377016,8336963,6226381,3562170,6808766,,,,,,,,,,,80604.1122624672,90375.3578927276,76359.8827266064,75118.4545236381,71489.0981406939,76964.0444291767,87070.1096605744,95404.4558172318,87096.7505317979,73187.3548886405,11228848,407974,555002,779062,1553192,1397599,2158282,1700672,934410,1742655,,,,,,,,,,
"12","Florida","Florida","00","12",,,,,8669611,539874,582465,802848,1289625,965488,1247296,649113,523279,2069623,566894,351161,87897,59548,42694,14066,8309,1923,766,530,,,,,,,,,,,404483243,26364561,23965128,33054439,52037204,40765144,56555003,33267550,30154705,108319509,,,,,,,,,,,46655.2931844347,48834.6558641461,41144.3228348484,41171.4782872972,40350.647668896,42222.3207331422,45342.0864013033,51250.7837618412,57626.4382862679,52337.7972703241,102328551,5422610,5923468,8197507,13154148,10456768,14619371,8726658,8053362,27774659,,,,,,,,,,
"13","Georgia","Georgia","00","13",,,,,3975657,210583,272086,391566,675901,501112,650791,398579,297316,577723,235847,130311,40905,28849,22280,7291,4334,1180,441,256,,,,,,,,,,,204050872,10901520,11044727,16090001,27435872,23359838,33892816,22651558,19136572,39537968,,,,,,,,,,,51325.069541965,51768.2813902357,40592.7794888381,41091.4149849578,40591.5540885426,46616.0020115264,52079.4172015286,56830.7863685744,64364.4203473745,68437.5868712168,52872406,2200561,2712157,3970973,6885986,5989182,8810525,6180472,5120701,11001849,,,,,,,,,,
"15","Hawaii","Hawaii","00","15",,,,,551681,30278,41063,60935,93637,81748,80718,48309,46424,68569,32952,17109,6227,4487,3164,1180,536,146,70,33,,,,,,,,,,,25119473,1555990,1664349,2382308,3915178,3464957,3625134,2336123,2294478,3880956,,,,,,,,,,,45532.6048930451,51390.1182376643,40531.5977887636,39095.8890621154,41812.2964212865,42385.8320692861,44911.09789638,48357.9250243226,49424.3925555747,56599.2795578177,6292044,321334,405542,583029,958150,863379,917539,606426,601145,1035500,,,,,,,,,,
"16","Idaho","Idaho","00","16",,,,,597765,44629,58157,82430,117555,76276,82008,44636,35935,56139,49267,28519,8781,6138,3938,1119,557,133,56,26,,,,,,,,,,,25229557,2024423,2075839,2983192,4215827,3084643,3493589,1956380,1813128,3582536,,,,,,,,,,,42206.4808076753,45361.1553026059,35693.7084099936,36190.6102147276,35862.591978223,40440.5448633908,42600.5877475368,43829.6442333542,50455.7673577292,63815.4580594596,6017662,382670,486378,695470,996887,753739,862069,493872,479737,866840,,,,,,,,,,
"17","Illinois","Illinois","00","17",,,,,5524630,286150,366409,521587,863702,676792,916279,526735,410124,956852,320965,180156,55121,38520,28567,9885,6146,1572,599,399,,,,,,,,,,,313199314,15197723,16050256,23628629,41159061,36164718,52631073,35197956,29547906,63621992,,,,,,,,,,,56691.4551743737,53111.036169841,43804.2078660732,45301.4147208424,47654.238383146,53435.4986465561,57440.0079015234,66822.8919665486,72046.2738098721,66490.9432179689,82513962,2980822,3836115,5699917,10162163,9326686,13889653,9909860,8608789,18099957,,,,,,,,,,
"18","Indiana","Indiana","00","18",,,,,2816081,128521,196209,278664,467973,367925,463144,291530,223180,398935,148304,72835,29539,20612,15493,5374,3077,864,320,190,,,,,,,,,,,128461591,5680140,7128746,10403257,17962989,15267485,20690979,15053102,11788493,24486400,,,,,,,,,,,45617.1505720183,44196.2013989932,36332.4108476166,37332.6192116671,38384.669628376,41496.1880818101,44675.0449104382,51634.8300346448,52820.5618783045,61379.4227129733,32668403,1194291,1701096,2494986,4354526,3771979,5211214,3957259,3114492,6868560,,,,,,,,,,
"19","Iowa","Iowa","00","19",,,,,1364250,75248,102349,152334,231808,168563,206459,141282,97050,189157,82894,43992,15375,11252,7812,2469,1359,413,142,80,,,,,,,,,,,61430726,3213499,3771959,5668067,8957098,7111958,9264889,6764320,5599728,11079208,,,,,,,,,,,45028.9360454462,42705.4406761642,36853.8920751546,37208.1544500899,38640.1590971839,42191.6909404792,44875.2004029856,47878.1444203791,57699.4126738794,58571.4935212548,15259608,664271,882477,1350302,2140275,1726057,2350687,1744264,1437803,2963472,,,,,,,,,,
"20","Kansas","Kansas","00","20",,,,,1203434,68798,93723,134825,214960,160440,194072,122365,89987,124264,74559,39130,14141,9962,7161,2324,1282,368,134,57,,,,,,,,,,,55087460,3006407,3569124,5134545,8364699,6662038,9495402,6276101,5355173,7223971,,,,,,,,,,,45775.2232361725,43699.0464839094,38081.6235075702,38083.0335620248,38912.8163379233,41523.5477437048,48927.2125808978,51290.0012258407,59510.5181859602,58134.0613532479,13856299,644445,866438,1243945,2084465,1654227,2483351,1596230,1342021,1941177,,,,,,,,,,
"21","Kentucky","Kentucky","00","21",,,,,1642234,80195,122196,176281,280753,202291,261048,184089,122810,212571,91079,44884,18361,13018,9302,2950,1732,544,178,110,,,,,,,,,,,71429511,3444120,4379706,6399175,10542811,7998182,11694957,8962479,6079200,11928881,,,,,,,,,,,43495.3307506726,42946.8171332377,35841.6478444466,36300.9910313647,37551.9086171831,39538.0021849712,44800.0252827066,48685.5759985659,49500.8549792362,56117.160854491,17860861,722515,1053043,1552604,2565191,1978846,3002545,2313644,1569684,3102789,,,,,,,,,,
"22","Louisiana","Louisiana","00","22",,,,,1691552,94553,143449,201373,319833,239954,269890,145322,99835,177343,106359,53335,21478,14900,10666,3489,1831,431,144,85,,,,,,,,,,,78758017,4449861,5444448,7972177,12866774,10105087,12849648,8182152,6424382,10463488,,,,,,,,,,,46559.6192135979,47062.0815838736,37953.8930212131,39589.1057887602,40229.6636056942,42112.6007484768,47610.6858349698,56303.60165701,64349.9974958682,59001.415336382,19490581,921145,1324967,1954172,3183111,2505855,3217397,2105177,1713588,2565169,,,,,,,,,,
"23","Maine","Maine","00","23",,,,,516240,38291,50165,70794,98758,67169,75791,45941,24911,44420,41727,23996,7545,5222,3288,977,509,134,35,21,,,,,,,,,,,23114375,1769064,1872730,2604034,4037574,2718747,3270277,2458761,1451065,2932123,,,,,,,,,,,44774.4750503642,46200.5170927894,37331.4063590153,36783.2584682318,40883.5132343709,40476.2167071119,43148.6192291961,53519.9712674953,58249.9698928184,66009.0724898694,5669401,335305,435852,607577,954134,672238,805120,633599,406801,818775,,,,,,,,,,
"24","Maryland","Maryland","00","24",,,,,2366053,124881,167314,244791,421637,333141,403681,212461,144421,313726,139497,73875,25107,18105,13851,4846,2732,633,214,134,,,,,,,,,,,131901298,6920701,7756875,11431761,20269751,16791719,22904818,13841971,10462631,21521071,,,,,,,,,,,55747.3978816197,55418.366284703,46361.1831645887,46700.0870130029,48073.9380082868,50404.2402466223,56739.8961060838,65150.6441182146,72445.357669591,68598.3023402587,33046644,1441425,1851520,2747869,5005853,4231043,5911025,3570135,2747430,5540344,,,,,,,,,,
"25","Massachusetts","Massachusetts","00","25",,,,,3323852,160397,219799,318213,511166,403734,561583,320629,240314,588017,180307,95609,33049,23553,16967,5904,3703,935,358,229,,,,,,,,,,,227920705,9904808,10924901,16049239,27742139,25297339,37533965,26012289,24424355,50031670,,,,,,,,,,,68571.25557937,61751.82827609,49704.0523387277,50435.5227473422,54272.2696736481,62658.4310461839,66836.0064318186,81128.9340639805,101635.173148464,85085.4141972086,59943858,1940859,2591687,3913891,6888708,6480003,10540940,7111985,6674459,13801326,,,,,,,,,,
"26","Michigan","Michigan","00","26",,,,,3947891,194472,288372,411603,648440,486966,624370,391327,281668,620673,222656,114091,43396,30410,21638,7091,4181,1179,415,255,,,,,,,,,,,198363538,9764881,11330279,16729015,27062327,22135676,32003002,22012548,18238929,39086881,,,,,,,,,,,50245.4444664252,50212.2722037106,39290.4963033859,40643.5691673773,41734.5120597125,45456.3070111671,51256.4697214793,56251.0330235327,64753.2875584021,62974.9981068936,50290465,1887581,2638406,3963920,6479212,5455611,8083716,5798795,4974906,11008318,,,,,,,,,,
