Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CD,Geo_CSA,Geo_MSAMSA,SE_T001_001,SE_T001_005,SE_T001_010,SE_T001_004,SE_T001_006,SE_T001_009,SE_T001_003,SE_T001_007,SE_T001_008,SE_T001_002,SE_T002_001,SE_T002_005,SE_T002_010,SE_T002_004,SE_T002_006,SE_T002_009,SE_T002_003,SE_T002_007,SE_T002_008,SE_T002_002,SE_T600_001,SE_T600_002,SE_T600_003,SE_T600_004,SE_T600_005,SE_T600_006,SE_T600_007,SE_T600_008,SE_T600_009,SE_T600_010,SE_T003_001,SE_T003_005,SE_T003_010,SE_T003_004,SE_T003_006,SE_T003_009,SE_T003_003,SE_T003_007,SE_T003_008,SE_T003_002,SE_T800_001,SE_T800_002,SE_T800_003,SE_T800_004,SE_T800_005,SE_T800_006,SE_T800_007,SE_T800_008,SE_T800_009,SE_T800_010,SE_T1200_001,SE_T1200_002,SE_T1200_003,SE_T1200_004,SE_T1200_005,SE_T1200_006,SE_T1200_007,SE_T1200_008,SE_T1200_009,SE_T1200_010,SE_T004_001,SE_T004_005,SE_T004_010,SE_T004_004,SE_T004_006,SE_T004_009,SE_T004_003,SE_T004_007,SE_T004_008,SE_T004_002,SE_T1000_001,SE_T1000_002,SE_T1000_003,SE_T1000_004,SE_T1000_005,SE_T1000_006,SE_T1000_007,SE_T1000_008,SE_T1000_009,SE_T1000_010
"37","North Carolina","North Carolina","00","37",,,,,3848565,208107,291826,410412,697471,549505,595303,335744,254007,506190,234948,124092,43851,30326,23080,8031,3963,998,374,233,,,,,,,,,,,184233031,9885194,11170651,15842816,26324052,22154277,28435581,18594050,16184948,35641462,,,,,,,,,,,47870.5779946551,47500.5357820736,38278.4638791609,38602.2241065076,37742.1455515713,40316.7887462352,47766.5676134674,55381.6300514678,63718.5116945596,70411.2329362492,47489262,2029471,2705967,3894734,6435692,5618410,7286449,4946935,4461867,10109737,,,,,,,,,,
"38","North Dakota","North Dakota","00","38",,,,,346155,21646,30787,47208,70840,49927,54755,32065,20605,18322,24566,12850,4635,3489,2380,721,359,93,29,10,,,,,,,,,,,17302345,1059368,1331438,1996292,3311506,2352680,2829965,1976274,1306928,1137894,,,,,,,,,,,49984.3856076035,48940.5894853553,43246.7599961023,42287.1547195391,46746.2732919255,47122.3987021051,51684.1384348461,61633.3697177608,63427.7117204562,62105.3378452134,4198199,218369,305455,475907,791999,591013,709804,508973,334306,262373,,,,,,,,,,
"39","Ohio","Ohio","00","39",,,,,4878062,213646,336154,497332,811754,650357,831870,510984,353647,672318,251937,120291,50555,36867,26856,9456,5571,1520,519,302,,,,,,,,,,,236239178,10213227,12877978,19386492,32715897,28564798,39703619,27839768,21611471,43325928,,,,,,,,,,,48428.9002476803,47804.4381827884,38309.7568376399,38980.9865441998,40302.7234851938,43921.7199169072,47728.1534374361,54482.6609052338,61110.2907701748,64442.6119782603,59680589,2109709,3058601,4660292,7980784,7088796,10099617,7332202,5846469,11504119,,,,,,,,,,
"40","Oklahoma","Oklahoma","00","40",,,,,1385228,86268,118239,163874,262860,186741,214507,124301,78710,149728,93561,50175,17845,12087,8731,2729,1436,364,118,76,,,,,,,,,,,63012529,3811937,4343728,6160236,10057789,7564713,9944131,6566060,4249838,10314097,,,,,,,,,,,45488.922401222,44187.1493485418,36736.8465565507,37591.295751614,38262.9118161759,40509.1169052324,46358.0722307431,52823.8710871192,53993.6221572862,68885.5591472537,15848587,797688,1051540,1499417,2458168,1885911,2521201,1710296,1162780,2761586,,,,,,,,,,
"41","Oregon","Oregon","00","41",,,,,1629432,107919,151588,213802,312893,208823,247266,143840,83108,160193,118586,64238,22845,15743,10413,3079,1646,426,118,78,,,,,,,,,,,83300624,4938553,5834889,8443704,13271711,10035222,12486282,8303243,5540120,14446900,,,,,,,,,,,51122.4917640012,45761.6638404729,38491.760561522,39493.1010935351,42416.1326715523,48056.1145084593,50497.3672077843,57725.5492213571,66661.6932184627,90184.3401397065,20621666,1001613,1380855,2004692,3168741,2448111,3132863,2080182,1423369,3981240,,,,,,,,,,
"42","Pennsylvania","Pennsylvania","00","42",,,,,5478025,275093,393663,556662,906586,688647,921280,549497,392576,794021,303492,154296,59378,41162,30026,9995,6103,1621,574,337,,,,,,,,,,,282597235,13322407,15646873,23292842,39643871,33474265,46252561,31877645,25924789,53161982,,,,,,,,,,,51587.4306889801,48428.7386447492,39746.8723248057,41843.7795286907,43728.7482930467,48608.7429408681,50204.6728464745,58012.4095308983,66037.6309300619,66952.866485899,72282579,2701090,3753036,5645867,9674620,8378358,11819370,8455142,7286140,14568956,,,,,,,,,,
"44","Rhode Island","Rhode Island","00","44",,,,,442449,26326,33969,50751,76473,54616,73850,34664,32435,59365,28748,15806,5122,3762,2580,803,495,111,45,24,,,,,,,,,,,22302643,1400566,1423863,2134221,3306951,2564782,3457220,2116503,2412266,3486271,,,,,,,,,,,50407.2627579676,53200.8660639672,41916.5415525921,42052.7871371993,43243.3800164764,46960.2680533177,46814.0825998646,61057.6678975306,74372.3138584862,58726.033858334,5794700,260480,338947,511225,808719,629360,904385,593035,748770,999779,,,,,,,,,,
"45","South Carolina","South Carolina","00","45",,,,,1903609,99081,142853,198344,327023,238695,284598,157704,133654,321657,110325,57254,21439,14640,10808,3513,1895,473,192,111,,,,,,,,,,,79732181,4576178,5211961,7206732,11408551,8954829,11732260,7912926,6835072,15893672,,,,,,,,,,,41884.7468151285,46186.2314671834,36484.7850587667,36334.5097406526,34886.0814071182,37515.7795513102,41223.9720588339,50175.8103789378,51140.0481841172,49411.8641907373,19954077,954165,1258929,1748085,2796367,2221064,2946345,2027996,1730259,4270867,,,,,,,,,,
"46","South Dakota","South Dakota","00","46",,,,,359771,25443,33438,47703,69809,45004,50334,34503,19004,34533,27100,15011,5068,3525,2365,658,328,102,28,15,,,,,,,,,,,15241286,1100411,1201135,1677817,2597985,1769237,2124936,1415336,1281930,2072499,,,,,,,,,,,42363.8536735868,43250.0491294266,35921.257252228,35172.1485021906,37215.6168975347,39312.8832992623,42216.7123614257,41020.6648697215,67455.7987792044,60015.0291025975,3769804,241000,279745,398526,614508,434039,541932,360852,345013,554189,,,,,,,,,,
"47","Tennessee","Tennessee","00","47",,,,,2683214,120301,189023,271708,458711,340922,440501,276861,213998,371189,138269,65538,28355,19980,15182,4963,2935,828,316,172,,,,,,,,,,,125736019,5921438,7322935,10800067,18355856,15041378,20235707,13843453,12878550,21336635,,,,,,,,,,,46860.2276970827,49221.8518549306,38740.973320707,39748.8001825489,40016.1670419938,44119.7048005116,45937.9365767615,50001.4556040757,60180.702623389,57481.8623396706,30700802,1217286,1738383,2547156,4406267,3620234,5044414,3529320,3170792,5426950,,,,,,,,,,
